year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1939,3.0,4.8,5.0,7.3,10.1,12.9,13.9,15.0,13.0,7.5,7.2,2.8,3.73,7.50,13.95,9.22,8.57
1940,-1.1,2.0,4.8,7.2,11.2,14.9,13.6,14.1,11.4,8.7,5.8,3.3,1.22,7.77,14.18,8.64,8.01
1941,-0.2,2.3,3.9,5.5,8.2,13.3,15.4,13.4,13.5,9.3,5.6,4.9,1.78,5.85,14.05,9.50,7.96
1942,1.0,0.1,4.0,7.8,9.6,12.6,14.0,14.8,12.2,9.3,4.7,5.7,2.04,7.15,13.81,8.72,8.03
1943,3.9,5.2,5.9,9.1,10.3,12.9,14.6,14.0,11.8,9.8,5.5,3.4,4.92,8.44,13.84,9.03,8.88
1944,5.1,2.9,4.5,8.7,9.8,12.1,14.9,15.4,11.2,8.2,5.0,3.2,3.82,7.65,14.16,8.14,8.44
1945,-0.2,5.9,7.2,8.6,10.5,12.9,15.2,14.5,13.1,10.6,6.7,4.5,2.87,8.75,14.23,10.13,9.13
1946,2.5,4.8,4.5,8.5,9.5,11.8,14.5,13.2,12.6,8.7,6.9,2.6,3.92,7.47,13.17,9.40,8.35
1947,1.7,-2.1,2.1,7.2,11.4,13.7,15.2,17.0,13.3,9.9,6.0,4.3,0.84,6.90,15.29,9.72,8.37
1948,3.7,3.8,7.3,7.8,9.9,12.2,14.2,13.5,12.4,8.9,6.7,4.9,3.97,8.32,13.34,9.35,8.81
1949,4.5,4.8,4.3,8.6,9.7,13.4,15.6,15.2,14.6,10.6,5.9,4.7,4.74,7.54,14.71,10.37,9.34
1950,3.8,4.0,6.5,6.3,9.9,14.3,14.6,14.2,11.6,8.7,4.7,0.6,4.16,7.60,14.38,8.33,8.30
1951,2.9,2.6,3.2,5.5,8.7,12.2,14.7,13.5,12.8,9.2,7.2,4.6,2.00,5.78,13.49,9.72,8.11
1952,1.6,2.7,5.5,8.3,11.6,12.5,15.0,14.4,9.9,8.0,3.4,2.6,3.01,8.47,14.00,7.12,7.99
1953,3.2,3.8,5.1,6.1,11.2,12.9,14.1,14.6,12.8,9.2,7.5,6.0,3.18,7.47,13.88,9.82,8.91
1954,2.6,1.8,4.7,6.7,10.1,12.1,12.9,13.2,11.3,10.4,5.9,5.6,3.52,7.16,12.73,9.17,8.13
1955,1.8,0.3,2.6,8.2,8.4,12.3,15.9,16.4,13.1,8.2,6.5,4.5,2.62,6.38,14.90,9.26,8.23
1956,2.6,-0.2,5.2,5.7,10.5,11.7,14.2,12.1,12.9,8.7,5.6,5.2,2.37,7.18,12.71,9.06,7.90
1957,4.5,3.9,7.9,7.6,9.2,13.4,14.7,14.0,11.2,9.6,5.7,3.8,4.53,8.26,14.07,8.86,8.84
1958,2.5,3.5,2.6,6.4,9.4,12.3,14.4,14.4,13.8,9.8,5.9,3.7,3.26,6.14,13.70,9.84,8.25
1959,0.9,3.8,6.2,8.0,11.2,13.5,15.4,15.7,13.5,11.4,6.2,4.8,2.75,8.48,14.88,10.38,9.24
1960,3.1,2.6,5.3,8.0,11.4,14.4,13.8,13.7,11.9,9.3,6.0,2.9,3.52,8.22,13.94,9.04,8.54
1961,2.7,5.8,7.2,8.4,9.7,12.8,13.6,13.9,13.5,9.6,5.2,1.6,3.74,8.45,13.42,9.44,8.67
1962,3.5,3.7,1.8,6.5,8.9,12.2,13.2,13.0,11.4,9.6,4.7,2.0,2.91,5.73,12.80,8.57,7.56
1963,-1.9,-1.1,4.9,7.2,9.1,13.3,13.5,12.9,11.7,9.7,6.6,2.3,-0.29,7.06,13.25,9.33,7.40
1964,3.2,3.7,3.6,7.5,11.5,12.3,14.3,13.8,12.6,8.0,6.4,2.7,3.03,7.56,13.50,8.98,8.31
1965,2.4,2.6,4.1,6.9,10.0,12.8,12.5,13.4,11.2,9.8,3.6,3.3,2.59,7.02,12.89,8.23,7.75
1966,2.1,4.0,5.6,5.8,9.7,13.8,13.5,13.2,12.7,8.9,4.5,4.1,3.12,7.04,13.50,8.69,8.19
1967,3.7,4.5,5.8,6.8,8.9,12.7,14.8,14.1,12.4,9.3,4.8,3.6,4.09,7.16,13.88,8.83,8.47
1968,3.5,1.1,5.2,6.9,8.3,13.2,13.5,14.1,12.5,11.1,5.5,2.6,2.77,6.82,13.60,9.74,8.16
1969,4.4,0.2,2.6,6.3,9.7,12.6,15.1,14.9,12.6,11.7,4.0,2.7,2.46,6.17,14.24,9.46,8.12
1970,2.9,1.8,3.0,5.5,11.2,14.6,13.5,14.6,12.9,9.5,6.3,3.6,2.50,6.55,14.22,9.55,8.31
1971,3.9,4.0,4.4,6.7,10.3,11.1,15.1,14.2,13.1,10.3,5.3,6.0,3.84,7.12,13.50,9.57,8.73
1972,3.1,3.4,5.4,7.3,9.4,10.5,14.1,13.5,10.7,9.6,5.2,4.8,4.20,7.34,12.73,8.48,8.10
1973,3.9,3.4,5.4,5.9,9.8,13.3,14.3,14.9,12.7,8.2,5.1,4.0,4.05,7.05,14.17,8.65,8.43
